AÑO,TRIMESTRE,PROVEEDOR,SEGMENTO,TERMINAL,TECNOLOGÍA,No. ABONADOS
2023,2,ALMACENES EXITO INVERSIONES S.A.S.,PREPAGO,TELÉFONO MÓVIL,3G,17196
2023,2,ALMACENES EXITO INVERSIONES S.A.S.,PREPAGO,TELÉFONO MÓVIL,4G,331268
2023,2,COLOMBIA MOVIL  S.A ESP,POSPAGO,DATA CARD,4G,0
2023,2,COLOMBIA MOVIL  S.A ESP,POSPAGO,DATA CARD,3G,1
2023,2,COLOMBIA MOVIL  S.A ESP,POSPAGO,TELÉFONO MÓVIL,3G,102
2023,2,COLOMBIA MOVIL  S.A ESP,POSPAGO,TELÉFONO MÓVIL,4G,136
2023,2,COLOMBIA MOVIL  S.A ESP,PREPAGO,DATA CARD,3G,1288
2023,2,COLOMBIA MOVIL  S.A ESP,PREPAGO,DATA CARD,4G,5053
2023,2,COLOMBIA MOVIL  S.A ESP,PREPAGO,TELÉFONO MÓVIL,3G,462741
2023,2,COLOMBIA MOVIL  S.A ESP,PREPAGO,TELÉFONO MÓVIL,4G,3893006
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,POSPAGO,TELÉFONO MÓVIL,2G,23
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,POSPAGO,DATA CARD,4G,472
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,POSPAGO,DATA CARD,3G,528
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,POSPAGO,TELÉFONO MÓVIL,3G,1994
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,POSPAGO,DATA CARD,2G,4635
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,PREPAGO,DATA CARD,2G,5313
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,PREPAGO,DATA CARD,3G,6403
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,PREPAGO,DATA CARD,4G,13506
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,POSPAGO,TELÉFONO MÓVIL,4G,27971
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,PREPAGO,TELÉFONO MÓVIL,2G,41322
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,PREPAGO,TELÉFONO MÓVIL,3G,475991
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,PREPAGO,TELÉFONO MÓVIL,4G,2742095
2023,2,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,TELÉFONO MÓVIL,5G,0
2023,2,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,TELÉFONO MÓVIL,5G,0
2023,2,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,DATA CARD,5G,0
2023,2,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,DATA CARD,5G,0
2023,2,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,DATA CARD,2G,2
2023,2,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,DATA CARD,3G,5
2023,2,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,DATA CARD,4G,58
2023,2,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,TELÉFONO MÓVIL,2G,119
2023,2,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,DATA CARD,2G,211
2023,2,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,TELÉFONO MÓVIL,3G,836
2023,2,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,DATA CARD,3G,3250
2023,2,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,TELÉFONO MÓVIL,4G,3671
2023,2,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,DATA CARD,4G,23175
2023,2,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,TELÉFONO MÓVIL,2G,188616
2023,2,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,TELÉFONO MÓVIL,3G,2016383
2023,2,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,TELÉFONO MÓVIL,4G,13560715
2023,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,PREPAGO,TELÉFONO MÓVIL,3G,2335
2023,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,PREPAGO,TELÉFONO MÓVIL,4G,54600
2023,2,INSIDENET SAS,POSPAGO,DATA CARD,2G,75
2023,2,LIWA SAS ESP,PREPAGO,TELÉFONO MÓVIL,3G,18
2023,2,LIWA SAS ESP,PREPAGO,TELÉFONO MÓVIL,4G,556
2023,2,LOGISTICA FLASH COLOMBIA S.A.S,PREPAGO,TELÉFONO MÓVIL,3G,2341
2023,2,LOGISTICA FLASH COLOMBIA S.A.S,PREPAGO,TELÉFONO MÓVIL,4G,47784
2023,2,LOV TELECOMUNICACIONES SAS,PREPAGO,TELÉFONO MÓVIL,3G,211
2023,2,LOV TELECOMUNICACIONES SAS,PREPAGO,TELÉFONO MÓVIL,4G,1786
2023,2,PARTNERS TELECOM COLOMBIA SAS,PREPAGO,TELÉFONO MÓVIL,3G,126507
2023,2,PARTNERS TELECOM COLOMBIA SAS,PREPAGO,TELÉFONO MÓVIL,4G,579018
