AÑO,TRIMESTRE,CÓDIGO DANE,DEPARTAMENTO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,PENETRACIÓN (%)
2023,2,91,AMAZONAS,2479,85056,2.9145504138449962
2023,2,5,ANTIOQUIA,1575915,6848360,23.01156773300469
2023,2,81,ARAUCA,28849,313097,9.214077426484444
2023,2,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",11988,62269,19.251955226517207
2023,2,8,ATLÁNTICO,470569,2803565,16.78466523872284
2023,2,11,BOGOTÁ D.C.,2302714,7907281,29.121438835928558
2023,2,13,BOLÍVAR,272415,2247283,12.121971287105362
2023,2,15,BOYACÁ,164848,1298800,12.692331382814906
2023,2,17,CALDAS,172655,1040284,16.596910074556565
2023,2,18,CAQUETA,34858,425053,8.200859657501535
2023,2,85,CASANARE,55284,467775,11.818502485169152
2023,2,19,CAUCA,99139,1558045,6.363038294786094
2023,2,20,CESAR,125176,1373581,9.113113824375846
2023,2,27,CHOCÓ,24265,595138,4.077205622897546
2023,2,25,CUNDINAMARCA,631972,3445327,18.342874275794433
2023,2,23,CÓRDOBA,123410,1898911,6.4989881042344795
2023,2,94,GUAINÍA,1512,56551,2.673692772895263
2023,2,95,GUAVIARE,1576,97616,1.6144894279626292
2023,2,41,HUILA,149143,1178453,12.655829294846718
2023,2,44,LA GUAJIRA,52083,1038397,5.015711717194868
2023,2,47,MAGDALENA,150593,1496163,10.065280320392898
2023,2,50,META,167776,1130085,14.846316869969957
2023,2,52,NARIÑO,130678,1699570,7.688886012344299
2023,2,54,NORTE DE SANTANDER,195191,1696740,11.503883918573264
2023,2,86,PUTUMAYO,14765,383042,3.8546686786305417
2023,2,63,QUINDÍO,129682,563076,23.03099403988094
2023,2,66,RISARALDA,220385,972304,22.66626487189192
2023,2,68,SANTANDER,436878,2357127,18.53434286739747
2023,2,70,SUCRE,71664,994060,7.209222783332998
2023,2,73,TOLIMA,226311,1374384,16.46635874690043
2023,2,76,VALLE DEL CAUCA,918842,4638029,19.81104473473538
2023,2,97,VAUPÉS,288,46777,0.6156871966992326
2023,2,99,VICHADA,1383,123304,1.1216181145786024
2023,3,91,AMAZONAS,1565,85056,1.839964258841234
2023,3,5,ANTIOQUIA,1572187,6848360,22.957131342394383
2023,3,81,ARAUCA,29159,313097,9.31308827615723
2023,3,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",11448,62269,18.38475003613355
2023,3,8,ATLÁNTICO,461943,2803565,16.47698555232356
2023,3,11,BOGOTÁ D.C.,2270655,7907281,28.716002378061436
2023,3,13,BOLÍVAR,256049,2247283,11.393714098313385
2023,3,15,BOYACÁ,166004,1298800,12.781336618417
2023,3,17,CALDAS,174580,1040284,16.781955696713588
2023,3,18,CAQUETA,34834,425053,8.195213302811649
2023,3,85,CASANARE,54892,467775,11.73470151247929
2023,3,19,CAUCA,110255,1558045,7.076496506840303
2023,3,20,CESAR,127560,1373581,9.286674757440588
2023,3,27,CHOCÓ,23818,595138,4.002096992630281
2023,3,25,CUNDINAMARCA,634351,3445327,18.411924325325288
2023,3,23,CÓRDOBA,112739,1898911,5.937034437106321
2023,3,94,GUAINÍA,928,56551,1.6409966225177273
2023,3,95,GUAVIARE,1385,97616,1.418824782822488
2023,3,41,HUILA,155453,1178453,13.191277038626064
2023,3,44,LA GUAJIRA,55984,1038397,5.391386916564667
2023,3,47,MAGDALENA,148127,1496163,9.900458706705084
2023,3,50,META,161356,1130085,14.27821801014968
2023,3,52,NARIÑO,131907,1699570,7.76119842077702
2023,3,54,NORTE DE SANTANDER,195914,1696740,11.546495043436236
2023,3,86,PUTUMAYO,20037,383042,5.231019052740953
2023,3,63,QUINDÍO,128679,563076,22.852865332566118
2023,3,66,RISARALDA,216420,972304,22.258470601787096
2023,3,68,SANTANDER,441663,2357127,18.73734423304302
2023,3,70,SUCRE,65393,994060,6.578375550771583
2023,3,73,TOLIMA,230096,1374384,16.741754851628073
2023,3,76,VALLE DEL CAUCA,920200,4638029,19.84032441366796
2023,3,97,VAUPÉS,159,46777,0.339910639844368
2023,3,99,VICHADA,1282,123304,1.0397067410627392
2023,4,91,AMAZONAS,1441,85056,1.6941779533483823
2023,4,5,ANTIOQUIA,1579700,6848360,23.066836439673146
2023,4,81,ARAUCA,29120,313097,9.300632072488717
2023,4,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",12142,62269,19.499269299330326
2023,4,8,ATLÁNTICO,447136,2803565,15.94883657058067
2023,4,11,BOGOTÁ D.C.,2263288,7907281,28.622835080731292
2023,4,13,BOLÍVAR,249217,2247283,11.089702543026402
2023,4,15,BOYACÁ,166647,1298800,12.830843855866954
2023,4,17,CALDAS,173603,1040284,16.688039035494153
2023,4,18,CAQUETA,34519,425053,8.1211048975069
2023,4,85,CASANARE,63586,467775,13.593287371065149
2023,4,19,CAUCA,100540,1558045,6.452958675776373
2023,4,20,CESAR,123884,1373581,9.019053117362573
2023,4,27,CHOCÓ,24998,595138,4.200370334275412
2023,4,25,CUNDINAMARCA,657893,3445327,19.0952266649871
2023,4,23,CÓRDOBA,112733,1898911,5.936718466531607
2023,4,94,GUAINÍA,773,56551,1.366907746989443
2023,4,95,GUAVIARE,1381,97616,1.4147270939190297
2023,4,41,HUILA,150160,1178453,12.742128875737938
2023,4,44,LA GUAJIRA,60426,1038397,5.819161650120329
2023,4,47,MAGDALENA,146474,1496163,9.789976092177122
2023,4,50,META,164313,1130085,14.539879743559112
2023,4,52,NARIÑO,138564,1699570,8.152885729919921
2023,4,54,NORTE DE SANTANDER,198123,1696740,11.676685879981612
2023,4,86,PUTUMAYO,23924,383042,6.245790278872813
2023,4,63,QUINDÍO,130158,563076,23.11552969758967
2023,4,66,RISARALDA,221602,972304,22.791431486448683
2023,4,68,SANTANDER,436004,2357127,18.497263830077888
2023,4,70,SUCRE,64062,994060,6.444480212462024
2023,4,73,TOLIMA,225290,1374384,16.392070920499656
2023,4,76,VALLE DEL CAUCA,921526,4638029,19.868914144348818
2023,4,97,VAUPÉS,165,46777,0.3527374564422686
2023,4,99,VICHADA,1262,123304,1.023486667099202
2024,1,91,AMAZONAS,2689,86318,3.1152250978938345
2024,1,5,ANTIOQUIA,1583592,6903721,22.938238668683162
2024,1,81,ARAUCA,29869,317398,9.41058229730496
2024,1,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",12224,62249,19.63726324920882
2024,1,8,ATLÁNTICO,442434,2827124,15.649614236941852
2024,1,11,BOGOTÁ D.C.,2289161,7929539,28.86877786968448
2024,1,13,BOLÍVAR,259486,2264523,11.45874870778526
2024,1,15,BOYACÁ,176839,1311983,13.478756965600926
2024,1,17,CALDAS,179450,1046110,17.154027779105448
2024,1,18,CAQUETA,32610,428162,7.616276082417403
2024,1,85,CASANARE,64982,475144,13.676274981900225
2024,1,19,CAUCA,99340,1574506,6.309280498137194
2024,1,20,CESAR,126598,1395486,9.071964892517732
2024,1,27,CHOCÓ,21371,605478,3.5296080121821105
2024,1,25,CUNDINAMARCA,673589,3553293,18.956753636697
2024,1,23,CÓRDOBA,107381,1914778,5.608013043809779
2024,1,94,GUAINÍA,1894,57934,3.269237408085062
2024,1,95,GUAVIARE,2969,100497,2.9543170442898794
2024,1,41,HUILA,150860,1192273,12.653142359174451
2024,1,44,LA GUAJIRA,55500,1057252,5.249458028927824
2024,1,47,MAGDALENA,147027,1513782,9.712560989627304
