AÑO,TRIMESTRE,PROVEEDOR,CONSUMO PREPAGO,CONSUMO POSPAGO,INGRESOS OPERACIONALES
2023,2,ALMACENES EXITO INVERSIONES S.A.S.,2240155618,0,2240155618
2023,2,COLOMBIA MOVIL  S.A ESP,28751744453,53044517609,81796262062
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,10945370854,138593670447,149539041301
2023,2,COMUNICACION CELULAR S A COMCEL S A,97894202740,183794664941,281688867681
2023,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,819279047,1811887019,2631166066
2023,2,LIWA SAS ESP,2735206,0,2735206
2023,2,LOGISTICA FLASH COLOMBIA S.A.S,825887273,0,825887273
2023,2,LOV TELECOMUNICACIONES SAS,37564370,0,37564370
2023,2,PARTNERS TELECOM COLOMBIA SAS,475980782,8957102649,9433083431
2023,2,SUMA MOVIL S.A.S.,34211722,0,34211722
2023,2,VIRGIN MOBILE COLOMBIA S.A.S.,4436252801,0,4436252801
2023,3,ALMACENES EXITO INVERSIONES S.A.S.,2135364395,0,2135364395
2023,3,COLOMBIA MOVIL  S.A ESP,31291794922,54821453900,86113248822
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,11453945315,141792070494,153246015809
2023,3,COMUNICACION CELULAR S A COMCEL S A,92992816368,175401389472,268394205840
2023,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,772873455,1527201175,2300074630
2023,3,LIWA SAS ESP,3457643,0,3457643
2023,3,LOGISTICA FLASH COLOMBIA S.A.S,816099456,0,816099456
2023,3,LOV TELECOMUNICACIONES SAS,27854409,0,27854409
2023,3,PARTNERS TELECOM COLOMBIA SAS,469712940,9920342320,10390055260
2023,3,SUMA MOVIL S.A.S.,48112132,0,48112132
2023,3,VIRGIN MOBILE COLOMBIA S.A.S.,4179168644,0,4179168644
2023,4,ALMACENES EXITO INVERSIONES S.A.S.,2489717346,0,2489717346
2023,4,COLOMBIA MOVIL  S.A ESP,33211836941,55897457093,89109294034
2023,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,11509412442,140720491784,152229904226
2023,4,COMUNICACION CELULAR S A COMCEL S A,88479322542,177144519740,265623842282
2023,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,767577326,1404027303,2171604629
2023,4,LIWA SAS ESP,4925727,0,4925727
2023,4,LOGISTICA FLASH COLOMBIA S.A.S,747628559,0,747628559
2023,4,LOV TELECOMUNICACIONES SAS,15633701,0,15633701
2023,4,PARTNERS TELECOM COLOMBIA SAS,542255568,11723294017,12265549585
2023,4,SUMA MOVIL S.A.S.,55357326,0,55357326
2023,4,VIRGIN MOBILE COLOMBIA S.A.S.,3567297285,0,3567297285
2024,1,ALMACENES EXITO INVERSIONES S.A.S.,2557752393,0,2557752393
2024,1,COLOMBIA MOVIL  S.A ESP,33786250464,58780087887,92566338351
2024,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,10856535185,138686465218,149543000403
2024,1,COMUNICACION CELULAR S A COMCEL S A,86254744755,162052238252,248306983007
2024,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,703938086,1207903618,1911841704
2024,1,LIWA SAS ESP,7205920,0,7205920
2024,1,LOGISTICA FLASH COLOMBIA S.A.S,675277517,0,675277517
2024,1,LOV TELECOMUNICACIONES SAS,9734569,0,9734569
2024,1,PARTNERS TELECOM COLOMBIA SAS,510729131,12797340370,13308069501
2024,1,SUMA MOVIL S.A.S.,45080524,0,45080524
2024,1,VIRGIN MOBILE COLOMBIA S.A.S.,3260649461,0,3260649461
2024,2,ALMACENES EXITO INVERSIONES S.A.S.,2446584296,0,2446584296
2024,2,COLOMBIA MOVIL  S.A ESP,32822772934,61013819687,93836592621
2024,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,10325471657,126433412749,136758884406
2024,2,COMUNICACION CELULAR S A COMCEL S A,85635836138,184149979576,269785815714
2024,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,692687459,1252529788,1945217247
2024,2,LIWA SAS ESP,11053287,0,11053287
2024,2,LOGISTICA FLASH COLOMBIA S.A.S,738884151,0,738884151
2024,2,LOV TELECOMUNICACIONES SAS,11259907,0,11259907
2024,2,PARTNERS TELECOM COLOMBIA SAS,595709536,13065359990,13661069526
2024,2,SUMA MOVIL S.A.S.,35520754,0,35520754
2024,2,VIRGIN MOBILE COLOMBIA S.A.S.,3515122635,0,3515122635
2024,3,ALMACENES EXITO INVERSIONES S.A.S.,2733084883,0,2733084883
